frame,timestamp,person_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf
1,2025-10-23T20:05:59.144162,0,7.673854827880859,317.1336669921875,0.24665789306163788,11.608579635620117,295.2890930175781,0.19440902769565582,0.0,299.73101806640625,0.09199947863817215,15.866889953613281,291.8608093261719,0.142933651804924,0.0,304.9994812011719,0.03342287614941597,3.4712371826171875,391.7375183105469,0.33012259006500244,0.0,398.1730651855469,0.0428786538541317,5.516437530517578,430.060546875,0.28234297037124634,13.102252960205078,430.3079528808594,0.019058750942349434,52.80607604980469,467.76934814453125,0.38971346616744995,49.62632751464844,466.4688720703125,0.07026462256908417
2,2025-10-23T20:05:59.252428,0,8.953197479248047,320.1503601074219,0.23520830273628235,10.545337677001953,296.300048828125,0.17039190232753754,0.0,302.1322021484375,0.08581071346998215,11.980514526367188,292.08587646484375,0.12704527378082275,0.0,309.0063171386719,0.03764771297574043,2.586627960205078,403.3836975097656,0.3506088852882385,0.0,413.54803466796875,0.04764630272984505,8.781867980957031,437.1883544921875,0.283149391412735,18.53003692626953,441.79547119140625,0.01897977665066719,52.54613494873047,469.008544921875,0.40418264269828796,50.254913330078125,469.7303161621094,0.07567983120679855
3,2025-10-23T20:05:59.274978,0,9.462869644165039,318.7064208984375,0.18945789337158203,9.543289184570312,296.86639404296875,0.18436193466186523,0.0,300.6408386230469,0.06105451285839081,8.58807373046875,295.7467956542969,0.2029513418674469,0.0,308.5428161621094,0.03531144931912422,8.478996276855469,409.59857177734375,0.4133988618850708,0.0,416.7833251953125,0.04961399361491203,19.26938247680664,447.1300048828125,0.2523763179779053,25.22937774658203,449.8883972167969,0.011807922273874283,53.28533935546875,471.48333740234375,0.30456429719924927,48.23721694946289,466.6385498046875,0.0409003384411335
4,2025-10-23T20:05:59.322286,0,8.151201248168945,313.226806640625,0.18797901272773743,8.723045349121094,291.7718505859375,0.1821061670780182,0.0,295.12640380859375,0.05765838176012039,8.189594268798828,293.6828308105469,0.2196786105632782,0.0,305.4951171875,0.03475780040025711,7.675682067871094,411.2297668457031,0.4217533469200134,0.0,418.84564208984375,0.05399223789572716,19.877338409423828,449.40234375,0.2447620928287506,27.114952087402344,454.4141540527344,0.012181548401713371,56.15199661254883,472.786376953125,0.30434730648994446,48.78700256347656,468.55535888671875,0.042486175894737244
4,2025-10-23T20:05:59.322286,1,8.514341354370117,313.36517333984375,0.19261284172534943,10.024253845214844,291.69488525390625,0.19145844876766205,0.0,295.6005859375,0.05465283617377281,8.776863098144531,295.4032287597656,0.22664327919483185,0.0,307.2983093261719,0.030125904828310013,4.707653045654297,420.3067626953125,0.4922730326652527,0.0,430.792724609375,0.03252198174595833,21.61574935913086,449.6258850097656,0.35207298398017883,24.97726058959961,459.68988037109375,0.007067394442856312,55.324859619140625,468.4485778808594,0.4538441300392151,50.79471969604492,470.2972106933594,0.03560483083128929
5,2025-10-23T20:05:59.382095,0,10.259136199951172,316.4875183105469,0.2773534059524536,10.310905456542969,292.27752685546875,0.21789588034152985,0.0,297.66680908203125,0.1038588136434555,7.480022430419922,294.7684326171875,0.1748376190662384,0.0,311.01214599609375,0.05676646903157234,2.4122657775878906,430.9410400390625,0.4404760003089905,0.0,444.93145751953125,0.05015077069401741,18.34316635131836,456.1509704589844,0.2535257339477539,28.08530044555664,469.939453125,0.010605880990624428,49.94530487060547,468.4945983886719,0.3977929949760437,47.80978775024414,470.5360412597656,0.05690721049904823
6,2025-10-23T20:05:59.442450,0,10.671972274780273,311.5063781738281,0.2624157667160034,10.875310897827148,288.2630615234375,0.14884725213050842,0.0,294.86004638671875,0.11357848346233368,9.14950942993164,287.8353576660156,0.10177981108427048,0.0,306.3343811035156,0.06318093091249466,1.0061721801757812,406.4489440917969,0.36004093289375305,0.0,423.12542724609375,0.08268844336271286,17.7333984375,443.9138488769531,0.24493582546710968,20.862133026123047,460.18670654296875,0.03012695163488388,52.80643081665039,467.19464111328125,0.38874056935310364,51.16196060180664,466.3055725097656,0.11524971574544907
7,2025-10-23T20:05:59.502220,0,9.224449157714844,304.56451416015625,0.3107243478298187,13.049568176269531,278.90191650390625,0.2097773551940918,0.0,282.4149169921875,0.1347038745880127,8.4801025390625,278.2199401855469,0.10428301244974136,0.0,288.3846435546875,0.06458500772714615,3.880706787109375,392.0933532714844,0.4416324198246002,0.0,400.2381286621094,0.03511772304773331,16.241424560546875,454.1759033203125,0.2782648503780365,3.3156509399414062,461.9305725097656,0.008555709384381771,37.60576629638672,468.89349365234375,0.35633304715156555,46.13385009765625,466.78253173828125,0.05275861546397209
7,2025-10-23T20:05:59.502220,1,10.19255256652832,306.60711669921875,0.24856483936309814,10.049659729003906,280.823974609375,0.18256331980228424,0.0,287.6097412109375,0.07793892920017242,9.453575134277344,274.2881774902344,0.12888407707214355,0.0,294.068603515625,0.03361830860376358,2.1729774475097656,391.2005615234375,0.4338434636592865,0.0,404.82598876953125,0.05084502696990967,10.447315216064453,434.9697570800781,0.36867737770080566,18.305652618408203,444.82147216796875,0.017534896731376648,48.36101531982422,459.881591796875,0.478721559047699,44.981571197509766,466.7851257324219,0.07410740107297897
8,2025-10-23T20:05:59.562573,0,10.779151916503906,301.22869873046875,0.644828736782074,17.23046875,267.70025634765625,0.45430976152420044,0.0,271.17041015625,0.41785064339637756,15.460311889648438,261.15850830078125,0.11079826951026917,0.0,271.9626770019531,0.09563001990318298,12.94873046875,406.39385986328125,0.5012959837913513,0.0,417.4480285644531,0.036999497562646866,83.4046401977539,480.0,0.21508465707302094,41.03096008300781,480.0,0.008717802353203297,196.82945251464844,480.0,0.49225685000419617,191.71873474121094,480.0,0.085969939827919
